user_id,item_id,interaction_type,rating,timestamp,session_id
46,410,share,2.7,2025-09-05T00:34:17.606207,session_98
97,455,view,1.04,2025-09-04T00:00:17.606218,session_680
82,87,share,2.43,2025-08-21T09:03:17.606226,session_979
79,137,view,2.49,2025-08-25T16:49:17.606232,session_188
14,205,comment,4.85,2025-08-28T22:15:17.606239,session_856
49,353,comment,4.2,2025-08-11T18:27:17.606245,session_908
21,57,like,3.78,2025-09-07T15:06:17.606250,session_966
20,53,comment,4.64,2025-08-19T07:57:17.606255,session_822
72,347,comment,1.73,2025-08-24T00:22:17.606259,session_798
45,313,view,4.45,2025-09-04T08:27:17.606288,session_495
62,57,comment,2.76,2025-09-07T09:59:17.606302,session_268
83,160,view,3.82,2025-08-17T09:55:17.606311,session_786
95,295,like,4.91,2025-08-25T21:39:17.606317,session_532
66,352,view,2.73,2025-08-29T23:39:17.606322,session_494
44,339,comment,1.59,2025-08-15T21:18:17.606327,session_914
78,27,view,3.57,2025-09-03T03:45:17.606331,session_518
60,436,comment,4.48,2025-09-06T21:23:17.606336,session_770
62,164,like,2.32,2025-08-28T15:20:17.606341,session_52
64,114,comment,2.61,2025-08-30T14:29:17.606348,session_81
58,227,comment,1.35,2025-08-18T14:43:17.606353,session_458
40,60,comment,3.98,2025-09-09T11:45:17.606358,session_106
51,211,view,3.23,2025-09-10T06:58:17.606363,session_846
11,405,share,4.56,2025-08-15T16:56:17.606368,session_212
83,343,comment,4.8,2025-08-24T18:17:17.606376,session_846
6,418,like,4.38,2025-08-26T04:33:17.606380,session_574
98,317,comment,3.87,2025-08-24T18:21:17.606385,session_734
57,58,view,4.04,2025-08-31T04:57:17.606390,session_3
43,181,share,3.19,2025-08-24T06:46:17.606395,session_719
13,23,like,2.97,2025-08-22T16:11:17.606399,session_110
32,312,like,1.75,2025-08-23T10:01:17.606404,session_221
58,422,like,3.87,2025-09-05T09:27:17.606409,session_776
53,23,view,4.09,2025-08-20T19:05:17.606414,session_469
84,301,like,4.86,2025-09-10T02:25:17.606419,session_544
94,24,comment,4.36,2025-08-19T07:40:17.606424,session_947
65,399,like,3.77,2025-09-02T09:29:17.606428,session_749
16,53,comment,3.63,2025-08-13T17:04:17.606433,session_904
